Phi,Cohesion
25.45,0.084
25.1,0.088
25.7,0.079
25.1,0.096
26.166666666666668,0.052
26.5,0.053
26.05,0.053
26.5,0.053
26.5,0.059
26.383333333333333,0.059
26.166666666666668,0.062
24.383333333333333,0.103
25.583333333333332,0.083
25.216666666666665,0.089
25.333333333333332,0.093
24.75,0.097
25.1,0.108
24.633333333333333,0.103
26.283333333333335,0.071
26.05,0.083
25.583333333333332,0.096
23.666666666666668,0.108
25.583333333333332,0.088
24.383333333333333,0.101
24.633333333333333,0.096
25.333333333333332,0.091
24.633333333333333,0.103
25.216666666666665,0.069
25.333333333333332,0.071
25.216666666666665,0.072
24.633333333333333,0.091
24.633333333333333,0.088
24.633333333333333,0.103
24.383333333333333,0.101
25.1,0.103
24.633333333333333,0.101
24.15,0.103
25.333333333333332,0.096
25.1,0.101
26.283333333333335,0.111
