W_content,Wet_U_weight,Dry_U_weight,Sub_U_weight
18.0,1.95,1.65,1.03
18.2,1.96,1.66,1.04
17.2,1.95,1.66,1.04
17.2,1.97,1.68,1.05
15.8,1.94,1.68,1.05
16.1,1.96,1.69,1.05
16.8,1.96,1.68,1.05
15.8,1.95,1.68,1.05
15.4,1.96,1.70,1.06
16.5,1.94,1.67,1.04
17.4,1.95,1.66,1.04
19.2,1.98,1.66,1.04
18.9,1.95,1.64,1.02
21.6,1.96,1.61,1.01
19.6,1.96,1.64,1.02
18.9,1.97,1.66,1.03
18.5,1.99,1.68,1.05
18.8,2.00,1.68,1.05
17.9,2.00,1.70,1.06
19.8,1.98,1.65,1.03
20.5,2.01,1.67,1.04
22.9,1.98,1.61,1.01
19.7,1.97,1.65,1.03
21.9,1.99,1.63,1.02
20.4,2.03,1.69,1.05
20.2,2.02,1.68,1.05
20.1,2.04,1.70,1.06
21.0,1.95,1.61,1.01
21.1,1.96,1.62,1.01
21.8,1.96,1.61,1.00
20.2,1.95,1.62,1.01
21.6,1.96,1.61,1.01
20.9,1.95,1.61,1.01
23.6,1.95,1.58,0.98
18.6,1.95,1.64,1.03
22.6,1.98,1.62,1.01
20.9,1.97,1.63,1.02
20.5,1.98,1.64,1.03
18.8,1.97,1.66,1.03
16.9,1.96,1.68,1.05
